FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jon Gorenc,Stankovic,DEF,HUD,3900000,0,22,0.628571428571429,1.61172161172161E-07,5.64102564102564E-06,0,302938,2,15,0,0,0,1,0,5.6,3607,-1,0,22,1,0.1,0,0.5,2,0,2,0,0,3,429044,0,0,0,0,545,1531,0,0,109,Liverpool,Man Utd,Southampton,,,0.3,0.3,0.3,25
Jason,Steele,GLK,BHA,3900000,0,0,0,0,0,0,42550,0,0,0,0,0,0,0,0,539,-1,0,0,1,0,0,0,0,0,0,0,0,1.2,28726,0,0,0,0,0,2511,0,0,0,Newcastle,Arsenal,Man City,,,0,0,0,0
Maarten,Stekelenburg,GLK,EVE,3900000,0,0,0,0,0,0,143792,0,0,0,0,0,0,0,0,1548,-1,0,0,1,0,0,0,0,0,0,0,0,3.4,90263,0,0,0,0,0,2225,0,0,0,Crystal Palace,Burnley,Tottenham,,,0,0,0,0
Dale,Stephens,MID,BHA,4300000,4,61,2.2,5.11627906976744E-07,1.41860465116279E-05,0,491449,6,44,0,0,0,1,0,14.2,2359,-2,0,61,2,0.4,0,1.8,4,0,5,0,1,3.1,113910,0,0,0,0,2304,1239,0,1,369,Newcastle,Arsenal,Man City,,,2.1,1.1,1.2,78.5
Jack,Stephens,DEF,SOU,4200000,2,43,1.22857142857143,2.92517006802721E-07,1.02380952380952E-05,0,30902,4,28,0,0,0,1,0,10.2,320,-3,0,43,3,0.1,0,0.6,4,0,3,0,0,0.3,30560,0,0,0,1,1427,176,0,0,246,Bournemouth,West Ham,Huddersfield,,,0.6,0.6,0.9,55.5
Kazaiah,Sterling,FWD,TOT,4500000,0,0,0,0,0,0,3915,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4323,0,0,0,0,0,37,0,0,0,West Ham,Bournemouth,Everton,,,0,0,0,0
Raheem,Sterling,MID,MCI,11600000,8,223,7.2,6.20689655172414E-07,1.92241379310345E-05,0,2244072,3,18,0,0,0,17,0,19.2,32523,6,0,223,-6,0.4,0,5,25,0,15,0,14,23,3461724,0,0,0,6,2500,75439,0,0,713,Burnley,Leicester,Brighton,,,8.8,9.3,8.7,335.1
Jamie,Sterry,DEF,NEW,4000000,0,0,0,0,0,0,6323,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6817,0,0,0,0,0,4,0,0,0,Brighton,Liverpool,Fulham,,,0,0,0,0
,Steve Cook,DEF,BOU,4300000,1,77,2.8,6.51162790697674E-07,1.7906976744186E-05,0,715680,3,48,0,0,0,1,0,17.9,1905,-2,0,77,2,0.4,0,1.8,5,0,8,0,1,4.1,779037,1,0,0,1,2516,2919,0,0,487,Southampton,Tottenham,Crystal Palace,,,2.2,3.1,2.4,106.7
,Steven Sessegnon,DEF,FUL,4000000,0,0,0,0,0,0,6877,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10458,0,0,0,0,0,160,0,0,0,Cardiff City,Wolverhampton,Newcastle,,,0,0,0,0
John,Stones,DEF,MCI,5200000,8,81,3.7,7.11538461538462E-07,1.55769230769231E-05,0,712631,1,15,0,0,0,0,0,15.6,1759,-3,0,81,3,0.6,0,3,9,0,9,0,0,4.7,423924,0,0,0,0,1753,5540,0,0,424,Burnley,Leicester,Brighton,,,2.9,3.9,3.7,53.6
Daniel,Sturridge,FWD,LIV,5600000,0,30,1.9,3.39285714285714E-07,5.35714285714286E-06,0,134801,1,3,0,0,0,2,0,5.4,269,-4,0,30,4,0,0,0,2,0,1,0,1,0.9,93441,0,0,0,0,336,143,0,0,113,Huddersfield,Newcastle,Wolverhampton,,,1.7,1.3,1.5,37.6
Denis,Suarez,MID,ARS,5700000,0,4,1,1.75438596491228E-07,7.01754385964912E-07,0,24743,0,1,0,0,0,0,0,0.7,326,-8,0,4,8,0,0,0,0,0,0,0,0,0.1,27430,0,0,0,0,67,11,0,0,11,Leicester,Brighton,Burnley,,,0,0,0,1.4
,Success,FWD,WAT,4500000,2,41,1.17142857142857,2.6031746031746E-07,9.11111111111111E-06,0,485688,3,21,0,0,0,1,0,9.1,3781,0,0,41,0,0.3,0,1.4,0,0,2,0,1,2.4,575559,0,0,0,0,1018,9749,0,0,125,Wolverhampton,Chelsea,West Ham,,,0.6,0.6,0.8,74.7
Andrew,Surman,MID,BOU,4600000,0,36,2,4.34782608695652E-07,7.82608695652174E-06,0,26110,2,37,0,0,0,0,0,7.8,123,-4,0,36,4,0,0,0,0,0,4,0,0,0.1,11158,0,0,0,0,1438,11,0,0,206,Southampton,Tottenham,Crystal Palace,,,0,0,0,39.2
