FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jairo,Riedewald,DEF,CRY,4300000,0,0,0,0,0,0,3628,0,0,0,0,0,0,0,0,17,-2,0,0,2,0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,22,0,0,0,Man City,Arsenal,Everton,Cardiff City,Bournemouth,0,0,0,0,0,0
Matt,Ritchie,MID,NEW,5800000,2,85,2.7,4.6551724137931E-07,1.46551724137931E-05,0,87321,8,35,0,0,0,2,0,14.7,3810,-2,0,85,2,0.7,1,4,5,0,8,0,4,0.6,63044,0,0,0,0,2477,556,0,0,387,Leicester,Southampton,Brighton,Liverpool,Fulham,2.2,2.5,2,1.8,2.2,174.6
Callum,Roberts,MID,NEW,4500000,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,6,0,0,0,Leicester,Southampton,Brighton,Liverpool,Fulham,0,0,0,0,0,0
Andrew,Robertson,DEF,LIV,6800000,1,180,5.8,8.52941176470588E-07,2.64705882352941E-05,0,1382338,4,18,0,0,0,0,0,26.5,76389,8,0,180,-8,0.5,0,3.7,27,0,17,0,10,36.7,2547055,0,0,0,4,2773,23986,0,0,761,Chelsea,Cardiff City,Huddersfield,Newcastle,Wolverhampton,8.5,7,8,6.3,8.3,157.3
Marcos,Rojo,DEF,MUN,4900000,0,0,0,0,0,0,6776,1,4,0,0,0,0,0,0,71,-1,0,0,1,0.1,0,0.5,0,0,0,0,0,0.1,3309,1,0,0,0,116,119,0,0,4,West Ham,Everton,Man City,Chelsea,Huddersfield,0,0,0,0,0,4.2
Sergio,Romero,GLK,MUN,4900000,0,0,0,0,0,0,3490,0,0,0,0,0,0,0,0,26,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1348,0,0,0,0,0,19,0,0,0,West Ham,Everton,Man City,Chelsea,Huddersfield,0,0,0,0,0,0
Salomon,Rondon,FWD,NEW,6000000,2,119,4.4,7.33333333333333E-07,1.98333333333333E-05,0,703198,1,26,0,0,0,9,0,19.8,115483,0,-1,119,0,0.7,0,4,18,0,7,0,5,7.5,1069141,0,0,0,2,2151,11455,1,0,369,Leicester,Southampton,Brighton,Liverpool,Fulham,5,5.5,4.7,4.6,5.4,189.2
Danny,Rose,DEF,TOT,5800000,0,74,2.3125,3.98706896551724E-07,1.27586206896552E-05,0,105445,5,14,0,0,0,0,0,12.8,2316,-2,0,74,2,0.6,0,3.5,5,0,7,0,4,1.1,81621,0,0,0,0,1510,9691,0,0,297,Huddersfield,Man City,Brighton,West Ham,Bournemouth,2.3,3.9,2.1,1.3,2.7,83.3
Aaron,Rowe,MID,HUD,4500000,0,2,0.0606060606060606,1.34680134680135E-08,4.44444444444444E-07,0,27,0,1,0,0,0,0,0,0.4,6,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0,50,0,0,0,0,68,6,0,0,-2,Tottenham,Watford,Liverpool,Man Utd,Southampton,0,0,0,0,0,0
John,Ruddy,GLK,WOL,4200000,0,7,0.21875,5.20833333333333E-08,1.66666666666667E-06,0,17867,0,0,0,3,0,0,0,1.7,216,-3,0,7,3,0,0,0,0,0,1,0,0,0.2,4674,0,0,0,0,90,62,0,0,25,Southampton,Brighton,Arsenal,Watford,Fulham,0.1,0.2,0.1,0.1,0.1,2.7
Antonio,Rudiger,DEF,CHE,5900000,8,110,3.5,5.93220338983051E-07,1.86440677966102E-05,0,390917,7,34,0,0,0,1,0,18.6,10194,-1,0,110,1,0.4,0,2.3,9,0,12,0,1,3.6,393053,0,0,0,2,2768,1205,0,0,587,Liverpool,Burnley,Man Utd,Watford,Leicester,3.1,3.7,3.2,4.1,3.3,96.2
Mathew,Ryan,GLK,BHA,4400000,0,84,3.1,7.04545454545455E-07,1.90909090909091E-05,0,412923,2,41,0,74,0,0,0,19.1,19514,-1,0,84,1,0.3,0,1.5,9,0,5,0,0,5.6,470947,0,0,0,0,2430,162301,0,0,425,Bournemouth,Cardiff City,Wolverhampton,Tottenham,Newcastle,7.7,5.4,3.1,1.6,3.3,53.9
Abdelhamid,Sabiri,MID,HUD,4300000,0,2,0.0606060606060606,1.40944326990839E-08,4.65116279069767E-07,0,6444,0,3,0,0,0,0,0,0.5,65,-2,0,2,2,0,0,0,0,0,0,0,0,0,4461,0,0,0,0,48,28,0,0,6,Tottenham,Watford,Liverpool,Man Utd,Southampton,0,0,0,0,0,0.7
Romain,Saiss,DEF,WOL,4200000,0,47,1.46875,3.49702380952381E-07,1.11904761904762E-05,0,36940,6,14,0,0,0,2,0,11.2,1451,-3,0,47,3,0.2,0,1,5,0,3,0,0,0.5,48102,0,0,0,1,1052,604,0,0,231,Southampton,Brighton,Arsenal,Watford,Fulham,0.8,2.1,0.8,1.2,0.8,53.5
Bukayo,Saka,MID,ARS,4500000,0,1,0.03125,6.94444444444444E-09,2.22222222222222E-07,0,822,0,0,0,0,0,0,0,0.2,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,7,22,0,0,3,Watford,Crystal Palace,Wolverhampton,Leicester,Brighton,0,0,0,0,0,0
Mamadou,Sakho,DEF,CRY,4900000,0,88,3.3,6.73469387755102E-07,1.79591836734694E-05,0,152007,2,35,0,0,0,0,0,18,1637,-1,0,88,1,0,0,0,13,0,9,0,0,1.3,119623,0,0,0,0,2416,47,0,0,533,Man City,Arsenal,Everton,Cardiff City,Bournemouth,0,0,0,0,0,66.6
Bakary,Sako,MID,CRY,4900000,0,1,0.0303030303030303,6.18429189857761E-09,2.04081632653061E-07,0,2084,0,0,0,0,0,0,0,0.2,62,-1,0,1,1,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,1,43,0,0,4,Man City,Arsenal,Everton,Cardiff City,Bournemouth,0,0,0,0,0,0
Mohamed,Salah,MID,LIV,13200000,6,216,6.5,4.92424242424242E-07,1.63636363636364E-05,0,3499797,1,18,0,0,0,18,0,16.4,133059,2,0,216,-2,0.3,0,4.3,15,0,17,0,10,34.7,2479273,0,0,0,5,2823,24210,0,0,565,Chelsea,Cardiff City,Huddersfield,Newcastle,Wolverhampton,7.7,7.2,9,8.1,8.8,363.9
Alexis,Sanchez,MID,MUN,10000000,0,44,1.375,1.375E-07,4.4E-06,0,499092,3,10,0,0,0,1,0,4.4,200,-5,0,44,5,0,0,0,1,0,2,0,5,1.2,56290,0,0,0,0,784,48,0,0,153,West Ham,Everton,Man City,Chelsea,Huddersfield,0,0,0.7,1,0.8,76.9
Davinson,Sanchez,DEF,TOT,5800000,0,66,3.5,6.03448275862069E-07,1.13793103448276E-05,0,139892,2,19,0,0,0,1,0,11.4,752,-2,0,66,2,0.2,0,1,4,0,5,0,2,1.6,71085,0,0,0,1,1581,1149,0,0,343,Huddersfield,Man City,Brighton,West Ham,Bournemouth,4.2,7.5,3.9,2.6,4.8,54
Max,Sanders,MID,BHA,4500000,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,14,0,0,0,Bournemouth,Cardiff City,Wolverhampton,Tottenham,Newcastle,0,0,0,0,0,0
Philippe,Sandler,DEF,MCI,4000000,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,92,0,0,0,Crystal Palace,Tottenham,Man Utd,Burnley,Leicester,0,0,0,0,0,0
,Sandro,FWD,EVE,5400000,0,0,0,0,0,0,12854,0,0,0,0,0,0,0,0,7,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,2380,0,0,0,0,0,2,0,0,0,Fulham,Man Utd,Crystal Palace,Burnley,Tottenham,0,0,0,0,0,0
Leroy,Sane,MID,MCI,9300000,0,140,4.375,4.70430107526882E-07,1.50537634408602E-05,0,2617302,1,13,0,0,0,9,0,15.1,16874,-2,0,140,2,0.4,0,4,13,0,8,0,11,7.3,2270411,0,0,0,3,1611,25109,0,0,466,Crystal Palace,Tottenham,Man Utd,Burnley,Leicester,4.9,7.8,4.4,4.6,4.1,214.8
