FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5500000,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,0,0,0,0,0,0.2,416,0,0,0,0,0,416,0,0,0,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,6,6,6,1.33333333333333E-06,1.33333333333333E-06,0,2437,0,0,0,0,0,0,0,1.3,2437,0,0,6,0,1.3,0,6,0,0,1,0,0,0.7,7257,0,0,0,0,90,7257,0,0,25,West Ham,Everton,Chelsea,Leicester,Burnley,7.4,8.5,7.4,7.8,7.4,7.8,7.4,8.5,7.4,8.5,6.3,8.5,7.4,8.5,7.1,7,8.5,7.4,7.4,8.5,7.4,8.5,8.5,7.4,5.9,8.1,7.4,8.5,7.4,7.4,6.6,8.5,7.4,8.5,7.4,8.5,6.6,3.2
,Adrian,GLK,WHU,4500000,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0.5,212,0,0,0,0,0,212,0,0,0,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11000000,2,2,2,1.81818181818182E-07,1.81818181818182E-07,0,53898,0,0,0,0,0,0,0,0.2,53898,0,0,2,0,0.2,0,2,0,0,1,0,0,33.2,135506,0,0,0,0,78,135506,0,0,4,Huddersfield,Wolverhampton,Newcastle,Fulham,Cardiff City,2.8,2,2.7,2.4,1.8,2.7,1,1,1,1,1.5,2.5,1,1,1,2.7,1,1.9,1,1,2.4,2.5,2.3,2.7,1,2.3,2.8,1,1,1.2,2,2.2,1,1.3,1,2.3,2.3,7.7
Nathan,Ake,DEF,BOU,5000000,8,8,8,1.6E-06,1.6E-06,0,9917,0,0,0,0,0,0,0,1.6,9917,0,0,8,0,1.6,0,8,2,0,1,0,0,4.3,26175,0,0,0,0,90,26175,0,0,33,West Ham,Everton,Chelsea,Leicester,Burnley,9.9,11.4,9.9,11.4,9.9,11.4,9.9,11.4,9.9,11.4,9.5,11.4,9.9,11.4,10.6,9.9,11.4,9.9,9.9,11.4,9.9,11.4,11.4,9.9,9.1,11.4,9.9,11.4,9.9,11,9.9,11.4,9.9,11.4,9.9,11.4,9.9,3.6
Marc,Albrighton,MID,LEI,5400000,0,0,0,0,0,0,13253,0,0,0,0,0,0,0,0,13253,-1,1,0,1,0,0,0,0,0,0,0,0,0.9,384,0,0,0,0,0,384,-1,0,0,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toby,Alderweireld,DEF,TOT,6000000,0,0,0,0,0,0,27518,0,0,0,0,0,0,0,0,27518,0,0,0,0,0,0,0,0,0,0,0,0,3,2140,0,0,0,0,0,2140,0,0,0,Fulham,Man Utd,Watford,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,5000000,5,5,5,1E-06,1E-06,0,42290,1,0,0,0,0,0,0,1,42290,0,0,5,0,1,0,5,0,0,1,0,0,16.8,54511,0,0,0,0,90,54511,0,0,22,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,5.1,7.1,5.1,6.2,7.1,6.2,7.1,6.2,7.1,6.2,7.1,6.2,6.7,6.2,4.1,7.1,5.4,5.8,7.1,6.2,6.2,6,6,6.2,5,6.2,7.1,5.8,7.1,6.2,7.1,6.2,7.1,6.2,7.1,4.8,6.4,4.2
,Alisson,GLK,LIV,5500000,7,7,7,1.27272727272727E-06,1.27272727272727E-06,0,26980,0,0,0,2,0,0,0,1.3,26980,0,0,7,0,1.3,0,7,1,0,1,0,0,14.4,27000,0,0,0,0,90,27000,0,0,31,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,8.2,9.9,8.2,8.7,9.9,8.7,9.9,8.7,9.9,8.7,9.9,8.7,9.9,8.7,6.8,9.9,8.7,9.2,9.9,8.7,8.7,9.5,9.5,8.7,8.2,8.7,9.9,8.7,9.9,8.7,9.9,8.7,9.9,8.7,9.9,7.8,9.9,1.8
Bamidele,Alli,MID,TOT,9100000,9,9,9,9.89010989010989E-07,9.89010989010989E-07,0,18597,0,1,0,0,0,1,0,1,18597,1,-1,9,-1,1,0,9,2,0,0,0,0,7.4,143826,0,0,0,0,79,143826,1,0,34,Fulham,Man Utd,Watford,Liverpool,Brighton,12.8,9.7,9.7,9.7,11.2,11.2,12.8,11.2,11.8,10.3,11.2,9.4,11.2,12.8,11.2,12.8,10.5,12.4,12,11.2,11.5,11.2,11.5,12.8,12.8,11.2,7.6,12.8,11.2,12.8,7.9,12.8,12.8,10.1,12.8,10.7,12.2,12
Marcos,Alonso,DEF,CHE,6500000,11,11,11,1.69230769230769E-06,1.69230769230769E-06,0,26460,0,0,0,0,0,0,0,1.7,26460,0,0,11,0,1.7,0,11,2,0,1,0,1,18.6,84261,0,0,0,0,90,84261,0,0,32,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,12.48,13.7,12.16,12.48,13.7,12.48,13.7,12.48,13.7,12.48,12.48,13.7,12.48,13.7,12.48,13.7,12.48,13.7,13.7,12.48,12.48,13.7,13.2,12.48,13.7,12.48,12.48,13.7,12.48,13.7,13.7,12.48,13.7,12.48,13.7,12.48,13.7,5.1
Daniel,Amartey,MID,LEI,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,1746,1,1,0,0,0,0,0,0.2,1746,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,2112,0,0,0,0,62,2112,0,0,6,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.7,0.5,0.5,0.6,0.6,0.5,0.7,0.5,0.5,1.4
Luke,Amos,MID,TOT,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,795,0,0,0,0,0,0,0,0.2,795,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,1599,0,0,0,0,2,1599,0,0,3,Fulham,Man Utd,Watford,Liverpool,Brighton,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.7,0.5,0.7,0.5,0.7,0.8,0.5,0.6,0.5,0.5,0.2
Ethan,Ampadu,MID,CHE,4500000,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0.1,127,0,0,0,0,0,127,0,0,0,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0.1,126,0,0,0,0,0,126,0,0,0,Man Utd,Liverpool,Fulham,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5500000,0,0,0,0,0,0,5198,0,0,0,0,0,0,0,0,5198,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1083,0,0,0,0,0,1083,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
