FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Connor,Wickham,FWD,CRY,4900000,1,2,0.105263157894737,2.14822771213749E-08,4.08163265306122E-07,0,8255,0,0,0,0,0,0,0,0.4,139,-1,0,2,1,0,0,0.2,0,0,0,0,0,0.1,2334,0,0,0,0,28,257,0,0,5,Chelsea,Wolverhampton,Watford,Liverpool,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.4
Georginio,Wijnaldum,MID,LIV,5500000,3,54,3,5.45454545454545E-07,9.81818181818182E-06,0,110657,1,6,0,0,0,1,0,9.8,5000,0,0,54,0,0.4,0,2,3,0,10,0,1,1.1,118562,0,0,0,0,1427,2001,0,0,218,Arsenal,Man City,Brighton,Crystal Palace,Leicester,2.8,1.5,2.2,2.7,2.7,2.5,3.1,2,2.6,1.8,3.3,2.6,2,2.7,2,2.1,3.2,3.2,2.9,58.1
Ashley,Williams,DEF,EVE,4500000,0,0,0,0,0,0,5093,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,151,0,0,0,0,0,3,0,0,0,Brighton,Leicester,Bournemouth,Southampton,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny,Williams,MID,HUD,4500000,0,4,0.210526315789474,4.67836257309942E-08,8.88888888888889E-07,0,1296,1,0,0,0,0,0,0,0.9,27,0,0,4,0,0.1,0,0.5,0,0,1,0,0,0,1031,0,0,0,0,83,16,0,0,6,Fulham,Burnley,Cardiff City,Man City,Everton,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
,Willian,MID,CHE,7200000,2,65,3.6,5E-07,9.02777777777778E-06,0,641035,1,14,0,0,0,2,0,9,16730,-3,1,65,3,0.3,0,2.3,2,0,8,0,4,4.5,388696,0,0,0,0,1223,5158,-1,0,290,Crystal Palace,Southampton,Newcastle,Arsenal,Bournemouth,3.7,4,3.9,3.1,3.2,4,2.1,4.4,2.5,3.6,3.6,2.6,3,2.9,2.4,4.1,2.8,3.3,3.4,144.4
Joseph,Willock,MID,ARS,4500000,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,Liverpool,Fulham,West Ham,Chelsea,Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Wilmot,DEF,WAT,4000000,0,1,0.0526315789473684,1.31578947368421E-08,2.5E-07,0,6665,0,0,0,0,0,0,0,0.3,421,0,0,1,0,0,0,0,0,0,0,0,0,0.1,12346,0,0,0,0,2,206,0,0,3,Newcastle,Bournemouth,Crystal Palace,Burnley,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Wilshere,MID,WHU,4800000,0,11,0.578947368421053,1.20614035087719E-07,2.29166666666667E-06,0,230528,2,9,0,0,0,0,0,2.3,1150,-2,0,11,2,0.1,0,0.7,0,0,1,0,1,1,25442,0,0,0,0,338,13,0,0,67,Burnley,Brighton,Arsenal,Bournemouth,Wolverhampton,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,12
Callum,Wilson,FWD,BOU,6700000,2,97,5.4,8.05970149253731E-07,1.44776119402985E-05,0,1608774,3,25,0,0,0,8,0,14.3,134334,7,1,97,-7,0.6,1,3.8,11,0,5,0,8,31.5,3077820,0,0,0,4,1509,45848,-1,0,302,Man Utd,Watford,Everton,West Ham,Chelsea,6.6,7.3,5.4,7.3,6.4,6,4.5,6.6,6.1,7,6.4,6.9,5.9,7.9,5.7,8,6.4,6.2,5.8,137.3
Harry,Winks,MID,TOT,5500000,2,24,1.26315789473684,2.29665071770335E-07,4.36363636363636E-06,0,3670,4,7,0,0,0,0,0,4.4,236,0,0,24,0,0.3,0,1.7,0,0,4,0,0,0.1,4392,0,0,0,0,797,372,0,0,119,Wolverhampton,Cardiff City,Man Utd,Fulham,Watford,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.9,0.7,0.6,0.6,0.6,0.6,18.5
